name	components	components_genesymbols	stoichiometry	sources	references	identifiers
NFY	P23511_P25208_Q13952	NFYA_NFYB_NFYC	1:1:1	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal;SPIKE;hu.MAP	9372932;14755292;15243141	SIGNOR:SIGNOR-C1;CORUM:4478;Compleat:HC1449;intact:EBI-6672597;PDB:8qu4;PDB:6qms;PDB:6qmp;PDB:4awl;PDB:8qu3;PDB:8qu2;PDB:6qmq
mTORC2	P42345_P68104_P85299_Q6R327_Q8TB45_Q9BVC4	DEPTOR_EEF1A1_MLST8_MTOR_PRR5_RICTOR	0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C2
mTORC1	P42345_Q8N122_Q8TB45_Q96B36_Q9BVC4	AKT1S1_DEPTOR_MLST8_MTOR_RPTOR	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C3
SCF-betaTRCP	P63208_Q13616_Q9Y297	BTRC_CUL1_SKP1	1:1:1	SIGNOR;Compleat;SPIKE;CORUM	9990852	SIGNOR:SIGNOR-C5;CORUM:227;Compleat:HC757
CBP/p300	Q09472_Q92793	CREBBP_EP300	0:0	hu.MAP3;SIGNOR		SIGNOR:SIGNOR-C6
P300/PCAF	Q09472_Q92793_Q92831	CREBBP_EP300_KAT2B	0:0:0	SIGNOR		SIGNOR:SIGNOR-C7
SMAD2/SMAD4	Q13485_Q15796	SMAD2_SMAD4	1:2	PDB;SIGNOR;ComplexPortal	12923550;8061611;4065410;16322555;14755292	SIGNOR:SIGNOR-C8;intact:EBI-9692430;reactome:R-HSA-206827;PDB:1u7v
SMAD3/SMAD4	P84022_Q13485	SMAD3_SMAD4	2:1	PDB;SIGNOR;ComplexPortal	12923550;8061611;4065410;16322555;14755292	SIGNOR:SIGNOR-C9;intact:EBI-9826300;PDB:1U7F;PDB:1u7f
SMAD4/JUN	P05412_Q13485	JUN_SMAD4	0:0	SIGNOR		SIGNOR:SIGNOR-C10
SMAD2/SMURF2	Q15796_Q9HAU4	SMAD2_SMURF2	1:1	SIGNOR;Compleat	11389444	SIGNOR:SIGNOR-C11;Compleat:HC501
SMAD7/HDAC1/E2F-1	O15105_Q01094_Q13547	E2F1_HDAC1_SMAD7	0:0:0	SIGNOR		SIGNOR:SIGNOR-C12
NfKb-p65/p50	P19838_Q04206	NFKB1_RELA	4:4	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;KEGG-MEDICUS	14755292;30205516;17072323;9556555	SIGNOR:SIGNOR-C13;CORUM:5460;Compleat:HC1876;intact:EBI-25616226;PDB:3gut
IKK-complex	O14920_O15111_Q9Y6K9	CHUK_IKBKB_IKBKG	1:1:1	SIGNOR;Compleat;hu.MAP2;CORUM;ComplexPortal;SPIKE;KEGG-MEDICUS;hu.MAP3	10893415;24375677;9751060;14755292	SIGNOR:SIGNOR-C14;CORUM:2121;Compleat:HC1074;reactome:R-HSA-202562;reactome:R-HSA-727820;reactome:R-HSA-202513;reactome:R-HSA-168113;reactome:R-HSA-177663;intact:EBI-9870239
AMPK	O43741_P54619_P54646_Q13131_Q9UGI9_Q9UGJ0_Q9Y478	PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	0:0:0:0:0:0:0	hu.MAP3;SIGNOR;hu.MAP2;SPIKE		SIGNOR:SIGNOR-C15
CyclinE/CDK2	O96020_P24941	CCNE2_CDK2	1:1	KEGG-MEDICUS;SIGNOR;ComplexPortal	14755292;15838514	SIGNOR:SIGNOR-C16;reactome:R-HSA-68368;reactome:R-HSA-68372;intact:EBI-768489
CyclinB/CDK1	P06493_P14635	CCNB1_CDK1	1:1	SIGNOR;Compleat;CORUM;ComplexPortal;SPIKE;KEGG-MEDICUS	17495531;8070405;14755292	SIGNOR:SIGNOR-C17;CORUM:5543;Compleat:HC968;reactome:R-HSA-170160;reactome:R-HSA-170047;reactome:R-HSA-170121;reactome:R-HSA-170068;reactome:R-HSA-170065;reactome:R-HSA-75032;reactome:R-HSA-170073;reactome:R-HSA-170048;reactome:R-HSA-170081;reactome:R-HSA-170127;reactome:R-HSA-6803876;reactome:R-HSA-170056;intact:EBI-767678
CyclinD/CDK4	P11802_P24385	CCND1_CDK4	2:2	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;KEGG-MEDICUS	9447971;14755292;12588994;15735718	SIGNOR:SIGNOR-C18;CORUM:3084;Compleat:HC891;intact:EBI-767849;reactome:R-HSA-75814;reactome:R-HSA-75812;reactome:R-HSA-68331;PDB:2w9z;PDB:2w96;PDB:2w9f;PDB:9csk;PDB:2w99
