category	parent	database	scope	aspect	source	uniprot	genesymbol	entity_type	consensus_score	transmitter	receiver	secreted	plasma_membrane_transmembrane	plasma_membrane_peripheral
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8IUH4	ZDHHC13	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	A6NGZ8	SMIM9	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8N292	GAPT	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9Y5I2	PCDHA10	protein	3	False	False	True	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q99466	NOTCH4	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q5T3U5	ABCC10	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9NQX5	NPDC1	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9HCJ2	LRRC4C	protein	6	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O60741	HCN1	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q96ES6	MFSD3	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q6ZT21	TMPPE	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8TBP6	SLC25A40	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P43146	DCC	protein	8	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8NHB7	OR5K1	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P55344	LIM2	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9H2W1	MS4A6A	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9BQG1	SYT3	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O95255	ABCC6	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P08684	CYP3A4	protein	7	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	A1KXE4	FAM168B	protein	3	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q16873	LTC4S	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9NXF8	ZDHHC7	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P0DMT0	MRLN	protein	3	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P08922	ROS1	protein	6	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O15243	LEPROT	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q15005	SPCS2	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9UKF2	ADAM30	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P08575	PTPRC	protein	7	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9GZR5	ELOVL4	protein	7	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q6UXK5	LRRN1	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q5IJ48	CRB2	protein	7	False	False	True	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8TC12	RDH11	protein	3	False	False	False	False	False
