source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	omnipath	kinaseextra	ligrecextra	pathwayextra	mirnatarget	dorothea	collectri	tf_target	lncrna_mrna	tf_mirna	small_molecule	dorothea_curated	dorothea_chipseq	dorothea_tfbs	dorothea_coexp	dorothea_level	type	curation_effort	extra_attrs	evidences	ncbi_tax_id_source	entity_type_source	ncbi_tax_id_target	entity_type_target
P0DP25	P48995	CALM3	TRPC1	1	0	1	1	0	1	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	True	False	False	False	False	False	False	False	False	False	False						post_translational	3	"{""TRIP_method"":[""Fluorescence probe labeling"",""Fusion protein-pull down assay"",""Patch clamp"",""Calcium measurement""]}"	"{""id_a"":""P0DP25"",""id_b"":""P48995"",""positive"":[],""negative"":[{""resource"":""TRIP"",""references"":[""12601176"",""11290752"",""11983166""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Fluorescence probe labeling"",""Fusion protein-pull down assay"",""Patch clamp"",""Calcium measurement""]}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P0DP23	P48995	CALM1	TRPC1	1	0	1	1	0	1	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	True	False	False	False	False	False	False	False	False	False	False						post_translational	3	"{""TRIP_method"":[""Fluorescence probe labeling"",""Fusion protein-pull down assay"",""Patch clamp"",""Calcium measurement""]}"	"{""id_a"":""P0DP23"",""id_b"":""P48995"",""positive"":[],""negative"":[{""resource"":""TRIP"",""references"":[""12601176"",""11290752"",""11983166""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Fluorescence probe labeling"",""Fusion protein-pull down assay"",""Patch clamp"",""Calcium measurement""]}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P0DP24	P48995	CALM2	TRPC1	1	0	1	1	0	1	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	True	False	False	False	False	False	False	False	False	False	False						post_translational	3	"{""TRIP_method"":[""Fluorescence probe labeling"",""Fusion protein-pull down assay"",""Patch clamp"",""Calcium measurement""]}"	"{""id_a"":""P0DP24"",""id_b"":""P48995"",""positive"":[],""negative"":[{""resource"":""TRIP"",""references"":[""12601176"",""11290752"",""11983166""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Fluorescence probe labeling"",""Fusion protein-pull down assay"",""Patch clamp"",""Calcium measurement""]}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
Q03135	P48995	CAV1	TRPC1	1	1	0	1	1	0	DIP;HINT;HPRD;IntAct;Lit-BM-17;TRIP	DIP:19897728;HINT:12732636;HINT:19897728;HPRD:12732636;IntAct:19897728;Lit-BM-17:10980191;Lit-BM-17:19052258;Lit-BM-17:19897728;TRIP:12732636;TRIP:14551243;TRIP:16822931;TRIP:18430726;TRIP:19052258;TRIP:19351713;TRIP:19897728	True	False	False	False	False	False	False	False	False	False	False						post_translational	15	"{""TRIP_method"":[""Co-immunofluorescence staining"",""Fluorescence resonance energy transfer"",""Co-immunoprecipitation"",""Fusion protein-pull down assay"",""Cell surface biotinylation"",""Yeast two-hybrid""]}"	"{""id_a"":""Q03135"",""id_b"":""P48995"",""positive"":[{""resource"":""TRIP"",""references"":[""19351713"",""18430726"",""16822931"",""19052258"",""14551243"",""12732636"",""19897728""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunofluorescence staining"",""Fluorescence resonance energy transfer"",""Co-immunoprecipitation"",""Fusion protein-pull down assay"",""Cell surface biotinylation"",""Yeast two-hybrid""]}}],""negative"":[],""directed"":[],""undirected"":[{""resource"":""DIP"",""references"":[""19897728""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""fluorescent resonance energy transfer"",""anti bait coimmunoprecipitation"",""two hybrid""],""type"":[""direct interaction"",""physical association""],""id"":""DIP-104198E""}},{""resource"":""IntAct"",""references"":[""19897728""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""two hybrid"",""anti bait coimmunoprecipitation"",""fluorescent resonance energy transfer""]}},{""resource"":""Lit-BM-17"",""references"":[""10980191"",""19897728"",""19052258""],""dataset"":""omnipath"",""via"":null,""attrs"":{""mentha_score"":0.765}},{""resource"":""HINT"",""references"":[""12732636"",""19897728""],""dataset"":""omnipath"",""via"":null,""attrs"":{""hint_quality"":[""LC"",""HT""]}},{""resource"":""HPRD"",""references"":[""12732636""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo"",""yeast 2-hybrid""]}}]}"	9606	protein	9606	protein
P14416	P48995	DRD2	TRPC1	1	1	0	1	1	0	TRIP	TRIP:18261457	True	False	False	False	False	False	False	False	False	False	False						post_translational	1	"{""TRIP_method"":[""Co-immunofluorescence staining"",""Co-immunoprecipitation"",""Fusion protein-pull down assay"",""Cell surface biotinylation"",""Yeast two-hybrid""]}"	"{""id_a"":""P14416"",""id_b"":""P48995"",""positive"":[{""resource"":""TRIP"",""references"":[""18261457""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunofluorescence staining"",""Co-immunoprecipitation"",""Fusion protein-pull down assay"",""Cell surface biotinylation"",""Yeast two-hybrid""]}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P48995	Q86YM7	TRPC1	HOMER1	0	0	0	0	0	0	HPRD;TRIP	HPRD:14505576;TRIP:14505576;TRIP:16905188;TRIP:22506990	True	False	False	False	False	False	False	False	False	False	False						post_translational	4	"{""TRIP_method"":[""Co-immunoprecipitation""],""HPRD_method"":[""in vitro"",""in vivo""]}"	"{""id_a"":""Q86YM7"",""id_b"":""P48995"",""positive"":[],""negative"":[],""directed"":[],""undirected"":[{""resource"":""TRIP"",""references"":[""14505576"",""16905188"",""22506990""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunoprecipitation""]}},{""resource"":""HPRD"",""references"":[""14505576""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo""]}}]}"	9606	protein	9606	protein
Q99750	P48995	MDFI	TRPC1	1	0	1	1	0	1	HPRD;TRIP	HPRD:14530267;TRIP:14530267;TRIP:23770672	True	False	False	False	False	False	False	False	False	False	False						post_translational	3	"{""TRIP_method"":[""Co-immunoprecipitation"",""Yeast two-hybrid"",""Fusion protein-pull down assay"",""Patch clamp""]}"	"{""id_a"":""Q99750"",""id_b"":""P48995"",""positive"":[],""negative"":[{""resource"":""TRIP"",""references"":[""23770672"",""14530267""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunoprecipitation"",""Yeast two-hybrid"",""Fusion protein-pull down assay"",""Patch clamp""]}}],""directed"":[],""undirected"":[{""resource"":""HPRD"",""references"":[""14530267""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo"",""yeast 2-hybrid""]}}]}"	9606	protein	9606	protein
Q14571	P48995	ITPR2	TRPC1	1	1	0	1	1	0	HPRD;TRIP	HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564	True	False	False	False	False	False	False	False	False	False	False						post_translational	13	"{""TRIP_method"":[""Co-immunoprecipitation"",""Patch clamp"",""Calcium measurement""]}"	"{""id_a"":""Q14571"",""id_b"":""P48995"",""positive"":[{""resource"":""TRIP"",""references"":[""15121806"",""10970773"",""17681754"",""18068335"",""18191041"",""11336651"",""16905188"",""12196544"",""23228564"",""16870612"",""18249094""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunoprecipitation"",""Patch clamp"",""Calcium measurement""]}}],""negative"":[],""directed"":[],""undirected"":[{""resource"":""HPRD"",""references"":[""10970773"",""11336651""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo""]}}]}"	9606	protein	9606	protein
P48995	Q14573	TRPC1	ITPR3	0	0	0	0	0	0	HPRD;TRIP	HPRD:10980191;HPRD:11290752;TRIP:11290752;TRIP:14505576;TRIP:15654973;TRIP:19052258	True	False	False	False	False	False	False	False	False	False	False						post_translational	6	"{""TRIP_method"":[""Co-immunofluorescence staining"",""Fusion protein-pull down assay"",""Co-immunoprecipitation""],""HPRD_method"":[""in vitro"",""in vivo""]}"	"{""id_a"":""Q14573"",""id_b"":""P48995"",""positive"":[],""negative"":[],""directed"":[],""undirected"":[{""resource"":""TRIP"",""references"":[""15654973"",""14505576"",""11290752"",""19052258""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunofluorescence staining"",""Fusion protein-pull down assay"",""Co-immunoprecipitation""]}},{""resource"":""HPRD"",""references"":[""11290752"",""10980191""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo""]}}]}"	9606	protein	9606	protein
P29966	P48995	MARCKS	TRPC1	1	0	1	1	0	1	TRIP	TRIP:24022404	True	False	False	False	False	False	False	False	False	False	False						post_translational	1	"{""TRIP_method"":[""Co-immunoprecipitation"",""Patch clamp""]}"	"{""id_a"":""P29966"",""id_b"":""P48995"",""positive"":[],""negative"":[{""resource"":""TRIP"",""references"":[""24022404""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""Co-immunoprecipitation"",""Patch clamp""]}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
