sample_id,organism,gene_symbol,condition,expression_count
S001,Homo sapiens,TP53,control,128
S002,Homo sapiens,BRCA1,control,94
S003,Homo sapiens,EGFR,treated,211
S004,Homo sapiens,MYC,treated,305
S005,Homo sapiens,AKT1,control,167
S006,Homo sapiens,KRAS,treated,188
S007,Homo sapiens,PTEN,control,76
S008,Homo sapiens,VEGFA,treated,142
S009,Homo sapiens,ESR1,control,119
S010,Homo sapiens,MTOR,treated,256
S011,Mus musculus,Trp53,control,133
S012,Mus musculus,Brca1,control,88
S013,Mus musculus,Egfr,treated,197
S014,Mus musculus,Myc,treated,284
S015,Mus musculus,Akt1,control,151
S016,Mus musculus,Kras,treated,173
S017,Mus musculus,Pten,control,69
S018,Mus musculus,Vegfa,treated,136
S019,Mus musculus,Esr1,control,102
S020,Mus musculus,Mtor,treated,238
S021,Danio rerio,tp53,control,121
S022,Danio rerio,brca1,control,82
S023,Danio rerio,egfra,treated,185
S024,Danio rerio,myca,treated,267
S025,Danio rerio,akt1,control,146
S026,Danio rerio,kras,treated,164
S027,Danio rerio,ptena,control,72
S028,Danio rerio,vegfaa,treated,129
S029,Danio rerio,esr1,control,98
S030,Danio rerio,mtor,treated,219
S031,Rattus norvegicus,Tp53,control,139
S032,Rattus norvegicus,Brca1,control,91
S033,Rattus norvegicus,Egfr,treated,204
S034,Rattus norvegicus,Myc,treated,296
S035,Rattus norvegicus,Akt1,control,158
S036,Rattus norvegicus,Kras,treated,181
S037,Rattus norvegicus,Pten,control,73
S038,Rattus norvegicus,Vegfa,treated,134
S039,Rattus norvegicus,Esr1,control,106
S040,Rattus norvegicus,Mtor,treated,244
